20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_07.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_08.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_09.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_10.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_11.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_12.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_13.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_14.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_15.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_16.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_16_20201004200054.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_17.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_18.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_19.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_20.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_21.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_22.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_23.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_24.raw,20201003_XL-Mmazei_DSBU_SEC_Superdex_HCDstepped_1h_25.raw
79603.0,73072.0,71436.0,39661.0,73047.0,94856.0,93419.0,62958.0,95590.0,36505.0,41553.0,78455.0,123335.0,124079.0,5954.0,109238.0,138860.0,98062.0,52296.0,68684.0
78412.0,70632.0,71416.0,45647.0,67998.0,94904.0,93439.0,63610.0,94691.0,36535.0,41543.0,78594.0,122619.0,124049.0,5918.0,109228.0,144738.0,98462.0,52232.0,68654.0
79669.0,78228.0,71406.0,45657.0,67959.0,94923.0,93508.0,63707.0,93950.0,36545.0,41478.0,78613.0,122629.0,123990.0,5116.0,108810.0,144728.0,98042.0,55674.0,68625.0
79768.0,22330.0,71370.0,60240.0,73136.0,94933.0,93536.0,62978.0,93884.0,36555.0,41420.0,78643.0,122649.0,123941.0,5106.0,108800.0,138879.0,97108.0,55733.0,68605.0
79858.0,73742.0,71282.0,39425.0,73206.0,95081.0,93595.0,63925.0,93874.0,45942.0,41410.0,78693.0,122668.0,123931.0,5020.0,108780.0,138909.0,97935.0,52165.0,68558.0
78404.0,70533.0,71252.0,63670.0,67644.0,96050.0,93615.0,62839.0,93845.0,36565.0,76582.0,78703.0,122767.0,124188.0,4978.0,108770.0,144659.0,97619.0,55762.0,68540.0
79905.0,70439.0,71212.0,45776.0,67772.0,97629.0,93711.0,63097.0,94701.0,36605.0,41370.0,78760.0,122887.0,125814.0,4938.0,108750.0,144669.0,98569.0,52185.0,68530.0
78390.0,73811.0,70280.0,45835.0,67896.0,96160.0,93739.0,63321.0,94740.0,45912.0,41360.0,78780.0,122937.0,124383.0,4884.0,108437.0,138948.0,97029.0,50769.0,68470.0
80083.0,73821.0,71071.0,45855.0,67886.0,97234.0,93779.0,62514.0,93969.0,30324.0,41340.0,78819.0,122947.0,124412.0,4854.0,108681.0,138655.0,98715.0,52175.0,68430.0
78543.0,70429.0,71052.0,39651.0,73186.0,97264.0,93281.0,63371.0,93835.0,36114.0,76669.0,78839.0,122966.0,124735.0,4827.0,108651.0,144866.0,97340.0,50759.0,68378.0
43393.0,73901.0,71021.0,45863.0,67878.0,97353.0,94591.0,62590.0,93785.0,30414.0,76854.0,78849.0,122995.0,124716.0,4798.0,108840.0,144916.0,97846.0,50729.0,68289.0
81759.0,78817.0,70270.0,46419.0,67850.0,97383.0,96034.0,62630.0,93763.0,36044.0,40575.0,78888.0,123035.0,124676.0,4788.0,108642.0,139067.0,98125.0,55782.0,68883.0
81391.0,78857.0,70070.0,46674.0,68014.0,97441.0,94719.0,64015.0,93753.0,30434.0,40545.0,78367.0,123045.0,124636.0,4778.0,108593.0,145176.0,98686.0,52155.0,68893.0
85443.0,78897.0,70100.0,46516.0,67782.0,97499.0,96092.0,62670.0,93743.0,35432.0,39983.0,78094.0,123101.0,124616.0,4656.0,108583.0,144629.0,97390.0,52456.0,68903.0
85187.0,70399.0,5998.0,47134.0,68034.0,97559.0,96102.0,62690.0,93733.0,35462.0,76425.0,79653.0,123128.0,124596.0,4637.0,108574.0,145166.0,98121.0,52591.0,68913.0
85150.0,41504.0,69129.0,47154.0,68054.0,97569.0,96112.0,62760.0,94835.0,35482.0,39927.0,79683.0,123157.0,124403.0,4598.0,108564.0,139057.0,97069.0,50876.0,69303.0
84687.0,70369.0,69089.0,47164.0,68319.0,94335.0,96131.0,63155.0,93675.0,35501.0,39917.0,80405.0,123167.0,124586.0,4568.0,108554.0,145116.0,97437.0,55408.0,69197.0
84373.0,78907.0,69060.0,39017.0,72812.0,97639.0,96150.0,63233.0,94815.0,35581.0,39907.0,80424.0,123234.0,124566.0,4492.0,108544.0,138695.0,98101.0,51041.0,69187.0
84283.0,78921.0,69050.0,47264.0,68222.0,97689.0,96199.0,63995.0,94681.0,35591.0,39865.0,80434.0,123268.0,124557.0,4462.0,108505.0,138773.0,97896.0,55466.0,69112.0
85453.0,73921.0,68990.0,62255.0,73316.0,97729.0,96229.0,63381.0,94029.0,35601.0,39855.0,80454.0,123325.0,124510.0,54624.0,108487.0,139047.0,98658.0,52700.0,69102.0
84273.0,78931.0,68970.0,63900.0,68202.0,97788.0,96249.0,63591.0,94117.0,35620.0,39847.0,80464.0,122589.0,124490.0,4386.0,108623.0,138743.0,97079.0,55476.0,69093.0
84114.0,70359.0,68960.0,47342.0,67484.0,97808.0,96316.0,62829.0,94184.0,30519.0,39808.0,80483.0,122018.0,124472.0,5126.0,108857.0,138405.0,98639.0,55526.0,69083.0
84000.0,78949.0,68910.0,60423.0,68172.0,97828.0,96326.0,62504.0,94293.0,35660.0,76415.0,80493.0,121781.0,124422.0,54535.0,108877.0,138977.0,97455.0,52680.0,69405.0
83898.0,70339.0,68882.0,47382.0,72842.0,97848.0,96346.0,61899.0,94302.0,35690.0,39766.0,80503.0,121968.0,124576.0,5146.0,108887.0,144649.0,97905.0,54756.0,69073.0
83670.0,70289.0,68862.0,63660.0,72862.0,97858.0,96376.0,68250.0,94319.0,46011.0,39736.0,80513.0,119699.0,125824.0,5185.0,109208.0,145086.0,97639.0,51003.0,69054.0
83647.0,70229.0,68812.0,63910.0,73307.0,97886.0,96062.0,61849.0,94328.0,35700.0,39726.0,80563.0,120446.0,125834.0,5908.0,109188.0,145076.0,97138.0,55536.0,69044.0
83634.0,78751.0,68802.0,38861.0,67504.0,97906.0,96396.0,60181.0,94388.0,35344.0,39692.0,80593.0,120485.0,125874.0,5893.0,109180.0,144977.0,100211.0,50993.0,69024.0
84188.0,70672.0,69159.0,39027.0,68142.0,97926.0,96576.0,60200.0,94448.0,35720.0,39664.0,80603.0,120495.0,126969.0,5844.0,109160.0,138987.0,98869.0,55546.0,69014.0
85476.0,73949.0,68792.0,47412.0,73255.0,97946.0,96586.0,60219.0,94468.0,45991.0,39614.0,80395.0,120544.0,126979.0,5834.0,109150.0,145671.0,103006.0,52078.0,69004.0
85515.0,73722.0,68763.0,47432.0,73246.0,97956.0,96626.0,60229.0,94174.0,35740.0,39556.0,80641.0,120564.0,127027.0,5734.0,109134.0,145859.0,103016.0,55565.0,68943.0
85736.0,78256.0,68715.0,63920.0,72908.0,98014.0,96676.0,60239.0,94478.0,35760.0,39537.0,80769.0,119679.0,127047.0,5713.0,109124.0,145740.0,103026.0,55634.0,68923.0
86703.0,74182.0,68685.0,64078.0,67584.0,97184.0,96686.0,60288.0,94154.0,35790.0,39527.0,80789.0,120614.0,127085.0,5648.0,109114.0,146757.0,103035.0,55654.0,69063.0
86683.0,73535.0,68675.0,38851.0,73226.0,96140.0,96706.0,60152.0,94144.0,35798.0,76386.0,80799.0,120634.0,127095.0,5558.0,109075.0,137728.0,103045.0,52088.0,70279.0
86642.0,78314.0,68655.0,47452.0,68902.0,97174.0,96794.0,60308.0,94508.0,35885.0,39523.0,80837.0,120703.0,127165.0,5541.0,109065.0,137768.0,103055.0,50886.0,70289.0
29223.0,73633.0,68615.0,47462.0,72517.0,97097.0,92927.0,60368.0,94127.0,45981.0,39503.0,80847.0,119659.0,127175.0,5531.0,109026.0,146727.0,103065.0,52630.0,70309.0
86634.0,77356.0,68597.0,47482.0,69140.0,96230.0,96814.0,60378.0,94527.0,35915.0,76376.0,80876.0,120713.0,127185.0,5521.0,108986.0,146717.0,103074.0,51132.0,71657.0
